feature,importance
paid_ratio,0.30329893316559053
credit_score,0.10462942520851592
amount,0.09503479556363446
avg_order_value,0.0783204887473861
lifetime_amount,0.06700134775115218
tenure_years,0.06677476879414018
inv_to_lifetime_ratio,0.0617097886359667
customer_tenure_days,0.058527578974832344
overdue_ratio,0.02116715389658619
overall_refund_amount,0.018673696648234588
over_due_invoices,0.017635541139574315
refund_ratio,0.01719864248241867
total_invoices,0.016300803005150903
region_North,0.014530809875091526
region_West,0.014498507630664438
total_orders,0.013034874821912307
seg_Individual,0.011441482012439708
seg_SMB,0.01017869704417495
region_South,0.010042664602533993
